Year,County,Yield_Value,Yield_Unit,PCT_PLANTED_April,PCT_PLANTED_July,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2011,LIBERTY,7630,LB / ACRE,87.0,87.0,100.0,100.0,99.0
2009,LIBERTY,7970,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,LIBERTY,7500,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,LIBERTY,6130,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,LIBERTY,9090,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,LIBERTY,4680,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,LIBERTY,6210,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,LIBERTY,6000,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,LIBERTY,5920,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,LIBERTY,5830,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,LIBERTY,5680,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2024,MATAGORDA,11110,LB / ACRE,86.0,86.0,100.0,32.0,100.0
2023,MATAGORDA,10420,LB / ACRE,83.0,83.0,83.0,22.0,96.0
2022,MATAGORDA,6840,LB / ACRE,77.0,100.0,100.0,25.0,98.0
2021,MATAGORDA,8480,LB / ACRE,85.0,85.0,85.0,39.0,95.0
2020,MATAGORDA,10440,LB / ACRE,91.0,91.0,98.0,56.0,98.0
2019,MATAGORDA,9020,LB / ACRE,73.0,73.0,99.0,17.0,85.0
2017,MATAGORDA,8430,LB / ACRE,76.0,76.0,100.0,24.0,90.0
2016,MATAGORDA,8060,LB / ACRE,76.0,76.0,76.0,16.0,99.0
2014,MATAGORDA,7590,LB / ACRE,79.0,79.0,100.0,100.0,98.0
2013,MATAGORDA,7820,LB / ACRE,96.0,96.0,100.0,50.0,100.0
2012,MATAGORDA,7240,LB / ACRE,89.0,89.0,89.0,89.0,98.0
2011,MATAGORDA,7970,LB / ACRE,87.0,87.0,100.0,100.0,99.0
2010,MATAGORDA,7300,LB / ACRE,86.0,86.0,86.0,86.0,99.0
2009,MATAGORDA,7560,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,MATAGORDA,7110,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,MATAGORDA,6090,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,MATAGORDA,7060,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,MATAGORDA,6870,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,MATAGORDA,6510,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,MATAGORDA,6250,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,MATAGORDA,6910,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,MATAGORDA,6450,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,MATAGORDA,6410,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2008,VICTORIA,6730,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2005,VICTORIA,6410,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2003,VICTORIA,6540,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,VICTORIA,7780,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,VICTORIA,8000,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,VICTORIA,8000,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2024,WHARTON,9620,LB / ACRE,86.0,86.0,100.0,32.0,100.0
2023,WHARTON,10250,LB / ACRE,83.0,83.0,83.0,22.0,96.0
2022,WHARTON,9440,LB / ACRE,77.0,100.0,100.0,25.0,98.0
2021,WHARTON,8480,LB / ACRE,85.0,85.0,85.0,39.0,95.0
2020,WHARTON,9320,LB / ACRE,91.0,91.0,98.0,56.0,98.0
2019,WHARTON,7630,LB / ACRE,73.0,73.0,99.0,17.0,85.0
2018,WHARTON,9450,LB / ACRE,77.0,77.0,77.0,46.0,100.0
2017,WHARTON,9500,LB / ACRE,76.0,76.0,100.0,24.0,90.0
2016,WHARTON,8290,LB / ACRE,76.0,76.0,76.0,16.0,99.0
2015,WHARTON,8810,LB / ACRE,64.0,64.0,100.0,0.0,85.0
2013,WHARTON,8360,LB / ACRE,96.0,96.0,100.0,50.0,100.0
2012,WHARTON,9060,LB / ACRE,89.0,89.0,89.0,89.0,98.0
2011,WHARTON,7350,LB / ACRE,87.0,87.0,100.0,100.0,99.0
2010,WHARTON,7350,LB / ACRE,86.0,86.0,86.0,86.0,99.0
2009,WHARTON,8510,LB / ACRE,92.0,92.0,100.0,100.0,99.0
2008,WHARTON,7210,LB / ACRE,92.0,92.0,92.0,92.0,100.0
2007,WHARTON,6980,LB / ACRE,79.0,79.0,79.0,79.0,98.0
2006,WHARTON,7830,LB / ACRE,91.0,91.0,91.0,91.0,100.0
2005,WHARTON,6930,LB / ACRE,78.0,78.0,78.0,78.0,100.0
2004,WHARTON,7430,LB / ACRE,85.0,85.0,85.0,85.0,100.0
2003,WHARTON,7390,LB / ACRE,86.0,86.0,100.0,37.0,100.0
2002,WHARTON,7970,LB / ACRE,95.0,95.0,95.0,45.0,100.0
2001,WHARTON,7330,LB / ACRE,89.0,89.0,89.0,89.0,100.0
2000,WHARTON,7360,LB / ACRE,91.0,91.0,91.0,91.0,99.0
2024,OTHER COUNTIES,9480,LB / ACRE,86.0,86.0,100.0,32.0,100.0
2023,OTHER COUNTIES,6450,LB / ACRE,83.0,83.0,83.0,22.0,96.0
2022,OTHER COUNTIES,5060,LB / ACRE,77.0,100.0,100.0,25.0,98.0
2021,OTHER COUNTIES,5950,LB / ACRE,85.0,85.0,85.0,39.0,95.0
2020,OTHER COUNTIES,7050,LB / ACRE,91.0,91.0,98.0,56.0,98.0
