Year,County,Yield_Bu_Acre,February_End_Pct,March_End_Pct,April_End_Pct,May_End_Pct,June_End_Pct,July_End_Pct
2014,CROSBY,145.5,0.0,0.0,64.0,97.0,100.0,100.0
2016,CROSBY,104.7,0.0,38.0,52.0,93.0,99.0,99.0
2000,DENTON,127.1,0.0,0.0,80.0,97.0,97.0,97.0
2002,DENTON,76.2,0.0,0.0,75.0,99.0,100.0,100.0
2003,DENTON,74.5,0.0,0.0,73.0,99.0,100.0,100.0
2004,DENTON,79.8,0.0,0.0,70.0,98.0,98.0,98.0
2005,DENTON,38.9,0.0,0.0,72.0,95.0,95.0,95.0
2006,DENTON,27.0,0.0,0.0,80.0,99.0,99.0,99.0
2012,DENTON,36.4,0.0,0.0,70.0,95.0,95.0,95.0
2013,DENTON,52.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,DENTON,78.3,0.0,0.0,64.0,97.0,100.0,100.0
2018,DENTON,42.7,0.0,43.0,70.0,90.0,96.0,96.0
2024,DENTON,61.5,3.0,57.0,71.0,92.0,100.0,100.0
2006,EASTLAND,128.0,0.0,0.0,80.0,99.0,99.0,99.0
2000,ELLIS,92.3,0.0,0.0,80.0,97.0,97.0,97.0
2001,ELLIS,72.7,0.0,0.0,69.0,98.0,98.0,98.0
2002,ELLIS,82.5,0.0,0.0,75.0,99.0,100.0,100.0
2003,ELLIS,97.0,0.0,0.0,73.0,99.0,100.0,100.0
2004,ELLIS,95.3,0.0,0.0,70.0,98.0,98.0,98.0
2005,ELLIS,67.6,0.0,0.0,72.0,95.0,95.0,95.0
2006,ELLIS,46.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,ELLIS,108.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,ELLIS,55.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,ELLIS,61.9,0.0,0.0,74.0,98.0,100.0,100.0
2010,ELLIS,69.1,0.0,0.0,61.0,97.0,97.0,97.0
2011,ELLIS,49.2,0.0,0.0,66.0,98.0,100.0,100.0
2012,ELLIS,97.9,0.0,0.0,70.0,95.0,95.0,95.0
2013,ELLIS,86.2,0.0,0.0,69.0,95.0,98.0,98.0
2014,ELLIS,107.7,0.0,0.0,64.0,97.0,100.0,100.0
2015,ELLIS,54.9,2.0,20.0,56.0,83.0,100.0,100.0
2016,ELLIS,80.4,0.0,38.0,52.0,93.0,99.0,99.0
2017,ELLIS,119.2,0.0,45.0,71.0,96.0,100.0,100.0
2018,ELLIS,71.9,0.0,43.0,70.0,90.0,96.0,96.0
2019,ELLIS,81.0,0.0,51.0,65.0,93.0,100.0,100.0
2020,ELLIS,96.7,0.0,50.0,67.0,96.0,98.0,98.0
2021,ELLIS,70.8,3.0,50.0,66.0,95.0,95.0,95.0
2022,ELLIS,59.7,5.0,51.0,69.0,94.0,99.0,99.0
2023,ELLIS,92.4,5.0,52.0,74.0,92.0,100.0,100.0
2024,ELLIS,75.0,3.0,57.0,71.0,92.0,100.0,100.0
2000,ERATH,56.4,0.0,0.0,80.0,97.0,97.0,97.0
2001,ERATH,45.0,0.0,0.0,69.0,98.0,98.0,98.0
2002,ERATH,55.0,0.0,0.0,75.0,99.0,100.0,100.0
2003,ERATH,108.3,0.0,0.0,73.0,99.0,100.0,100.0
2006,ERATH,155.0,0.0,0.0,80.0,99.0,99.0,99.0
2000,FANNIN,78.8,0.0,0.0,80.0,97.0,97.0,97.0
2001,FANNIN,73.2,0.0,0.0,69.0,98.0,98.0,98.0
2002,FANNIN,80.9,0.0,0.0,75.0,99.0,100.0,100.0
2003,FANNIN,93.9,0.0,0.0,73.0,99.0,100.0,100.0
2004,FANNIN,105.7,0.0,0.0,70.0,98.0,98.0,98.0
2005,FANNIN,74.6,0.0,0.0,72.0,95.0,95.0,95.0
2006,FANNIN,62.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,FANNIN,106.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,FANNIN,82.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,FANNIN,45.0,0.0,0.0,74.0,98.0,100.0,100.0
2010,FANNIN,53.5,0.0,0.0,61.0,97.0,97.0,97.0
2011,FANNIN,52.6,0.0,0.0,66.0,98.0,100.0,100.0
2012,FANNIN,90.7,0.0,0.0,70.0,95.0,95.0,95.0
2014,FANNIN,118.5,0.0,0.0,64.0,97.0,100.0,100.0
2015,FANNIN,73.7,2.0,20.0,56.0,83.0,100.0,100.0
2016,FANNIN,82.1,0.0,38.0,52.0,93.0,99.0,99.0
2017,FANNIN,133.0,0.0,45.0,71.0,96.0,100.0,100.0
2018,FANNIN,67.9,0.0,43.0,70.0,90.0,96.0,96.0
2019,FANNIN,88.8,0.0,51.0,65.0,93.0,100.0,100.0
2020,FANNIN,88.3,0.0,50.0,67.0,96.0,98.0,98.0
2024,FANNIN,58.8,3.0,57.0,71.0,92.0,100.0,100.0
2000,FAYETTE,96.2,0.0,0.0,80.0,97.0,97.0,97.0
2001,FAYETTE,85.5,0.0,0.0,69.0,98.0,98.0,98.0
2002,FAYETTE,41.4,0.0,0.0,75.0,99.0,100.0,100.0
2003,FAYETTE,44.1,0.0,0.0,73.0,99.0,100.0,100.0
2004,FAYETTE,102.1,0.0,0.0,70.0,98.0,98.0,98.0
2005,FAYETTE,68.9,0.0,0.0,72.0,95.0,95.0,95.0
2006,FAYETTE,48.0,0.0,0.0,80.0,99.0,99.0,99.0
2007,FAYETTE,105.0,0.0,0.0,70.0,98.0,98.0,98.0
2008,FAYETTE,40.0,0.0,0.0,66.0,97.0,99.0,99.0
2009,FAYETTE,23.9,0.0,0.0,74.0,98.0,100.0,100.0
