Year,County,Yield_Bu_Acre,PCT_PLANTED_April,PCT_PLANTED_February,PCT_PLANTED_June,PCT_PLANTED_March,PCT_PLANTED_May
2000,HANSFORD,177.9,80.0,80.0,80.0,80.0,97.0
2021,HARTLEY,178.6,66.0,3.0,3.0,50.0,95.0
2019,HARTLEY,213.9,65.0,65.0,100.0,51.0,93.0
2013,HARTLEY,222.8,69.0,69.0,98.0,98.0,95.0
2012,HARTLEY,190.6,70.0,70.0,70.0,70.0,95.0
2010,HARTLEY,204.4,61.0,61.0,61.0,61.0,97.0
2009,HARTLEY,224.2,74.0,74.0,100.0,100.0,98.0
2008,HARTLEY,198.0,66.0,66.0,99.0,99.0,97.0
2007,HARTLEY,221.0,70.0,70.0,70.0,70.0,98.0
2006,HARTLEY,208.0,80.0,80.0,80.0,80.0,99.0
2005,HARTLEY,196.4,72.0,72.0,72.0,72.0,95.0
2004,HARTLEY,194.4,70.0,70.0,70.0,70.0,98.0
2003,HARTLEY,192.6,73.0,73.0,100.0,100.0,99.0
2002,HARTLEY,214.2,75.0,75.0,100.0,100.0,99.0
2001,HARTLEY,190.6,69.0,69.0,69.0,69.0,98.0
2000,HARTLEY,182.5,80.0,80.0,80.0,80.0,97.0
2022,HUTCHINSON,177.5,69.0,5.0,99.0,51.0,94.0
2021,HUTCHINSON,219.5,66.0,3.0,3.0,50.0,95.0
2020,HUTCHINSON,215.6,67.0,67.0,98.0,50.0,96.0
2019,HUTCHINSON,178.6,65.0,65.0,100.0,51.0,93.0
2018,HUTCHINSON,178.9,70.0,70.0,96.0,43.0,90.0
2017,HUTCHINSON,211.0,71.0,71.0,100.0,45.0,96.0
2016,HUTCHINSON,212.2,52.0,52.0,99.0,38.0,93.0
2014,HUTCHINSON,197.3,64.0,64.0,100.0,100.0,97.0
2013,HUTCHINSON,205.3,69.0,69.0,98.0,98.0,95.0
2012,HUTCHINSON,170.5,70.0,70.0,70.0,70.0,95.0
2011,HUTCHINSON,158.6,66.0,66.0,100.0,100.0,98.0
2010,HUTCHINSON,204.3,61.0,61.0,61.0,61.0,97.0
2009,HUTCHINSON,184.1,74.0,74.0,100.0,100.0,98.0
2008,HUTCHINSON,191.0,66.0,66.0,99.0,99.0,97.0
2007,HUTCHINSON,219.0,70.0,70.0,70.0,70.0,98.0
2006,HUTCHINSON,198.0,80.0,80.0,80.0,80.0,99.0
2005,HUTCHINSON,208.8,72.0,72.0,72.0,72.0,95.0
2004,HUTCHINSON,207.5,70.0,70.0,70.0,70.0,98.0
2003,HUTCHINSON,196.8,73.0,73.0,100.0,100.0,99.0
